UniProtID,ProteinName,mean_Case,mean_Control,log2foldchange,p_value,t_value
Q9Y4L1,HYOU1,11.9633052595702,12.0167236855343,-0.053418425964086,0.486178908541877,-0.697021847442696
P06681,C2,15.3464563606452,15.401025704455,-0.0545693438097583,0.255844108540786,-1.13778339004446
P30613,PKLR,16.5029348948082,16.558795518911,-0.0558606241027988,0.618494782407819,-0.498832035611573
Q9UGM5,FETUB,12.5627711248805,12.6201916290436,-0.0574205041630282,0.335140891017431,-0.964909145906354
P02775,PPBP,14.1004815859634,14.1608134847984,-0.0603318988350114,0.696881706189295,-0.389804480082977
P07360,C8G,15.7336282879985,15.7944016383813,-0.0607733503828403,0.512303627132837,-0.655789673836842
P62263,RPS14,14.0580384821318,14.1191694188333,-0.0611309367014545,0.560099125649913,-0.583570123545074
Q96KN2,CNDP1,12.5198648048694,12.5830700936374,-0.0632052887679908,0.405936596540913,-0.832070913902018
P02745,C1QA,12.7840849091352,12.8499314412446,-0.0658465321093633,0.526477075505779,-0.633957952565379
P22352,GPX3,14.1133392712362,14.1794423404067,-0.0661030691704614,0.271624593628067,-1.10093811064614
Q9BRP8,PYM1,16.5279864483449,16.5949350934802,-0.0669486451352945,0.405309655224641,-0.834001459343826
P50454,SERPINH1,20.2066176820608,20.2744885899213,-0.0678709078605166,0.387773478752577,-0.865118973311578
P09871,C1S,15.9356784591739,16.003820399297,-0.0681419401230716,0.200247274507063,-1.28276156338323
Q9HCB6,SPON1,12.4528775831184,12.5231997845077,-0.0703222013892919,0.30087074643128,-1.03676597966889
P26927,MST1,10.8575097298391,10.930921502163,-0.0734117723239027,0.245962643362858,-1.16247715626992
P15169,CPN1,14.2274806220677,14.3051102861861,-0.0776296641184029,0.12873945079708,-1.5219823384991
Q15149,PLEC,19.9492385536676,20.0288668215939,-0.079628267926271,0.260379209143176,-1.12726095028188
P00736,C1R,14.8145695099609,14.8947671014069,-0.0801975914459963,0.134265521431498,-1.50025375208292
P14923,JUP,16.2556518268824,16.3360708135649,-0.0804189866825595,0.851462894149338,-0.18753411050909
P0C0L5,C4B,17.5769479579982,17.6575894106868,-0.0806414526885604,0.444585302500619,-0.765206394741732
P0C0L5,C4B_2,17.5769479579982,17.6575894106868,-0.0806414526885604,0.444585302500619,-0.765206394741732
P00915,CA1,18.7176722251224,18.7989953539173,-0.0813231287948959,0.486948249083994,-0.695790571447431
P24666,ACP1,17.3479309366757,17.4296102736884,-0.081679337012762,0.350542488061417,-0.935220812068566
P07358,C8B,14.675242182791,14.7608236915143,-0.0855815087232301,0.0903023258453958,-1.69752989233288
P23229,ITGA6,13.1478211375254,13.2342254806913,-0.0864043431658867,0.673920230327034,-0.421490660815455
P15311,EZR,17.0167857435656,17.1032209309142,-0.086435187348556,0.376180266147721,-0.886802301493202
P78371,CCT2,18.5233958782335,18.6100062706463,-0.0866103924127621,0.47515695731109,-0.715375297777346
P04114,APOB,18.920063130511,19.0072519624069,-0.0871888318958511,0.235054530587672,-1.18907404245198
Q9NTX5,ECHDC1,13.9136477180793,14.0012238423146,-0.0875761242353743,0.269103792362873,-1.10847890852261
P02747,C1QC,13.7596835826273,13.8474295680087,-0.087745985381364,0.339622351004324,-0.955959258114352
P04003,C4BPA,19.0987067287345,19.1868466436185,-0.0881399148839535,0.189870507467424,-1.3129783287873
P20930,FLG,8.55932987879472,8.64854296262396,-0.0892130838292431,0.357504191665431,-0.922510580410759
A5YKK6,CNOT1,17.0237118789661,17.114354566194,-0.090642687227863,0.548821269640801,-0.600597541082961
P05543,SERPINA7,15.2988815349967,15.3925848454038,-0.0937033104070739,0.0994782291529816,-1.65086005924122
Q15428,SF3A2,10.1104603725258,10.207024567583,-0.0965641950571499,0.106144101798548,-1.6246112685132
P20700,LMNB1,18.0832641962442,18.1801367385936,-0.0968725423494412,0.32149011440471,-0.992785387220868
P35900,KRT20,9.75442298673167,9.85260817224527,-0.0981851855135965,0.21842650478543,-1.2331780069673
P24821,TNC,17.1213998542712,17.2234410380918,-0.102041183820578,0.312556277803775,-1.01202914007028
O00187,MASP2,10.4514934426815,10.5596419517892,-0.108148509107727,0.136262216808754,-1.49580929540399
Q04756,HGFAC,12.3763434234637,12.4860415881232,-0.109698164659497,0.0848470222390051,-1.72746899626324
P13929,ENO3,15.7079405602013,15.819119570148,-0.111179009946669,0.175656878752399,-1.35913632776719
Q9BXR6,CFHR5,10.8194211617859,10.9310748489646,-0.111653687178697,0.278564340173244,-1.08774730589733
Q14520,HABP2,15.6533471752315,15.7668224049243,-0.113475229692712,0.0311086844465142,-2.16265632871199
P12830,CDH1,14.7494550209551,14.8629466878958,-0.113491666940645,0.267493858179922,-1.11072177344082
Q15075,EEA1,16.0711646571462,16.1870665783676,-0.115901921221436,0.498523766550316,-0.678214258381458
P31948,STIP1,17.3510716582845,17.4681964722909,-0.117124814006385,0.618499986152796,-0.498803861546185
Q9UNN8,PROCR,11.241353447005,11.3619786722096,-0.120625225204558,0.107540657774909,-1.61368919768285
P08603,CFH,16.6901390602682,16.8110272291534,-0.120888168885202,0.0721122080819015,-1.80271907345401
